epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3038.72,0.64618,0.29009,0.00231,0.94948,0.93819,0.96646,0.74572,0.91969,0.32124,0.00317,0.000752997,0.000752997,0.000752997
127,3062.51,0.6283,0.28384,0.00226,0.93289,0.90534,0.95749,0.76664,0.81094,0.37067,0.00286,0.000751021,0.000751021,0.000751021
128,3086.58,0.6478,0.29285,0.00229,0.95401,0.92286,0.96825,0.76844,0.83519,0.31542,0.00295,0.000749045,0.000749045,0.000749045
129,3110.57,0.61083,0.27156,0.00217,0.96178,0.91962,0.96171,0.77349,0.81048,0.33013,0.00288,0.000747069,0.000747069,0.000747069
130,3134.65,0.62926,0.27994,0.00224,0.93549,0.91745,0.9609,0.76184,0.85297,0.36386,0.00298,0.000745093,0.000745093,0.000745093
131,3158.44,0.62936,0.27388,0.00224,0.93846,0.92907,0.96199,0.76867,0.80443,0.33265,0.00284,0.000743117,0.000743117,0.000743117
132,3182.56,0.62838,0.26849,0.00224,0.9597,0.92808,0.96887,0.76397,0.84537,0.3067,0.00297,0.000741141,0.000741141,0.000741141
133,3206.56,0.60519,0.27266,0.00219,0.9441,0.91914,0.95587,0.75655,0.86598,0.36436,0.00308,0.000739165,0.000739165,0.000739165
134,3230.78,0.62166,0.28047,0.00219,0.95283,0.91853,0.96292,0.74181,0.93303,0.35199,0.00323,0.000737189,0.000737189,0.000737189
135,3254.65,0.63886,0.29111,0.00228,0.95422,0.93081,0.96467,0.75255,0.88562,0.31447,0.00308,0.000735213,0.000735213,0.000735213
136,3278.66,0.62193,0.27476,0.00219,0.96163,0.93758,0.96909,0.75323,0.90366,0.30174,0.00315,0.000733237,0.000733237,0.000733237
137,3302.74,0.61897,0.27303,0.00217,0.95042,0.93159,0.96153,0.765,0.84801,0.31587,0.00301,0.000731261,0.000731261,0.000731261
138,3326.76,0.60316,0.2708,0.00212,0.94606,0.9206,0.96343,0.73278,0.96906,0.35431,0.00335,0.000729285,0.000729285,0.000729285
139,3350.64,0.59309,0.26254,0.0021,0.94826,0.91885,0.96376,0.75073,0.90056,0.335,0.00314,0.000727309,0.000727309,0.000727309
140,3374.63,0.58304,0.26144,0.00208,0.96096,0.91196,0.96459,0.76137,0.85318,0.33016,0.00299,0.000725333,0.000725333,0.000725333
141,3398.62,0.61044,0.27765,0.00216,0.94536,0.92698,0.96882,0.75871,0.88296,0.34189,0.00308,0.000723357,0.000723357,0.000723357
142,3422.45,0.58005,0.27008,0.00206,0.94131,0.92622,0.96447,0.76252,0.84674,0.33475,0.00301,0.000721381,0.000721381,0.000721381
143,3446.22,0.61528,0.2638,0.00217,0.93293,0.90017,0.95952,0.7538,0.88335,0.38034,0.0031,0.000719405,0.000719405,0.000719405
144,3470.3,0.60657,0.27325,0.00216,0.93691,0.92378,0.96329,0.75656,0.87096,0.35206,0.00304,0.000717429,0.000717429,0.000717429
145,3494.21,0.58507,0.26142,0.00208,0.95887,0.92423,0.96615,0.76127,0.87198,0.32186,0.00306,0.000715453,0.000715453,0.000715453
146,3518.23,0.59454,0.27859,0.0021,0.95147,0.94042,0.96881,0.76235,0.8768,0.319,0.00304,0.000713477,0.000713477,0.000713477
147,3542.29,0.57834,0.26031,0.00201,0.96114,0.9327,0.96581,0.77217,0.83207,0.30356,0.00293,0.000711501,0.000711501,0.000711501
148,3566.13,0.59662,0.26967,0.00214,0.94268,0.90845,0.95886,0.76328,0.83288,0.35871,0.00295,0.000709525,0.000709525,0.000709525
149,3590.25,0.60706,0.26761,0.00216,0.89566,0.92177,0.95405,0.74876,0.86058,0.45477,0.00302,0.000707549,0.000707549,0.000707549
150,3614.18,0.5795,0.27089,0.00203,0.94689,0.93161,0.96832,0.77469,0.81111,0.3265,0.00289,0.000705573,0.000705573,0.000705573
151,3638.04,0.60858,0.27844,0.00215,0.96511,0.93179,0.96918,0.77342,0.82312,0.29558,0.0029,0.000703597,0.000703597,0.000703597
152,3662.05,0.60102,0.2657,0.00214,0.95648,0.92601,0.9676,0.77781,0.81194,0.31487,0.00288,0.000701621,0.000701621,0.000701621
