epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,3106.24,0.67493,0.27823,0.00225,0.92576,0.93046,0.93927,0.71816,0.88384,0.33508,0.0034,0.0243091,0.00810302,0.0243091,0.00810302,0.0243091,0.00810302,0.0243091,0.00810302
98,3137.86,0.66162,0.26981,0.0022,0.94373,0.91521,0.93852,0.76895,0.74182,0.31285,0.00296,0.0242498,0.00808326,0.0242498,0.00808326,0.0242498,0.00808326,0.0242498,0.00808326
99,3169.39,0.68694,0.28229,0.00228,0.9252,0.9159,0.93755,0.75305,0.78707,0.32547,0.00307,0.0241905,0.0080635,0.0241905,0.0080635,0.0241905,0.0080635,0.0241905,0.0080635
100,3200.64,0.66488,0.28063,0.00221,0.938,0.92394,0.93826,0.72681,0.89803,0.31838,0.00346,0.0241312,0.00804374,0.0241312,0.00804374,0.0241312,0.00804374,0.0241312,0.00804374
101,3232.14,0.66203,0.26939,0.00219,0.93282,0.8972,0.93376,0.74306,0.81019,0.3519,0.00316,0.0240719,0.00802398,0.0240719,0.00802398,0.0240719,0.00802398,0.0240719,0.00802398
102,3263.63,0.65766,0.26203,0.00219,0.91184,0.92487,0.93797,0.75708,0.77118,0.31985,0.00304,0.0240127,0.00800422,0.0240127,0.00800422,0.0240127,0.00800422,0.0240127,0.00800422
103,3295.14,0.6614,0.27108,0.00221,0.91803,0.9177,0.94646,0.74502,0.82803,0.32404,0.00321,0.0239534,0.00798446,0.0239534,0.00798446,0.0239534,0.00798446,0.0239534,0.00798446
104,3326.31,0.66846,0.27501,0.00224,0.92886,0.90681,0.94406,0.76843,0.72819,0.32196,0.0029,0.0238941,0.0079647,0.0238941,0.0079647,0.0238941,0.0079647,0.0238941,0.0079647
105,3357.69,0.63387,0.26361,0.00209,0.94274,0.91947,0.94495,0.76601,0.73359,0.31397,0.0029,0.0238348,0.00794494,0.0238348,0.00794494,0.0238348,0.00794494,0.0238348,0.00794494
106,3388.96,0.66467,0.27464,0.00223,0.94669,0.90213,0.93613,0.76046,0.74241,0.31405,0.00292,0.0237755,0.00792518,0.0237755,0.00792518,0.0237755,0.00792518,0.0237755,0.00792518
107,3420.55,0.65437,0.27148,0.00216,0.95007,0.9054,0.94197,0.74274,0.8225,0.32156,0.00317,0.0237163,0.00790542,0.0237163,0.00790542,0.0237163,0.00790542,0.0237163,0.00790542
108,3451.93,0.63577,0.26968,0.00213,0.93517,0.90587,0.9429,0.77256,0.73849,0.31242,0.00291,0.023657,0.00788566,0.023657,0.00788566,0.023657,0.00788566,0.023657,0.00788566
109,3483.38,0.66174,0.28526,0.00217,0.92805,0.90984,0.94119,0.75503,0.78241,0.3194,0.00306,0.0235977,0.0078659,0.0235977,0.0078659,0.0235977,0.0078659,0.0235977,0.0078659
110,3514.96,0.63299,0.25967,0.00209,0.92531,0.9096,0.94239,0.76691,0.74328,0.32946,0.00292,0.0235384,0.00784614,0.0235384,0.00784614,0.0235384,0.00784614,0.0235384,0.00784614
111,3546.57,0.64742,0.28042,0.00214,0.9408,0.92499,0.94884,0.76463,0.74606,0.32879,0.00291,0.0234791,0.00782638,0.0234791,0.00782638,0.0234791,0.00782638,0.0234791,0.00782638
112,3577.92,0.66257,0.29282,0.00218,0.94019,0.91787,0.93976,0.76233,0.73923,0.32959,0.00291,0.0234199,0.00780662,0.0234199,0.00780662,0.0234199,0.00780662,0.0234199,0.00780662
113,3609.24,0.66352,0.30088,0.0022,0.92028,0.93293,0.9406,0.75961,0.77235,0.33605,0.00303,0.0233606,0.00778686,0.0233606,0.00778686,0.0233606,0.00778686,0.0233606,0.00778686
114,3640.88,0.65885,0.26843,0.00217,0.93417,0.91494,0.93502,0.7287,0.85949,0.35054,0.00333,0.0233013,0.0077671,0.0233013,0.0077671,0.0233013,0.0077671,0.0233013,0.0077671
115,3672.52,0.64978,0.2752,0.00214,0.94091,0.9037,0.94661,0.77503,0.72202,0.32403,0.00286,0.023242,0.00774734,0.023242,0.00774734,0.023242,0.00774734,0.023242,0.00774734
116,3703.83,0.6242,0.27825,0.00208,0.93829,0.91985,0.95026,0.76379,0.77271,0.31411,0.00302,0.0231827,0.00772758,0.0231827,0.00772758,0.0231827,0.00772758,0.0231827,0.00772758
117,3735.32,0.61242,0.26209,0.00204,0.92917,0.92059,0.9333,0.73684,0.82123,0.35847,0.00321,0.0231235,0.00770782,0.0231235,0.00770782,0.0231235,0.00770782,0.0231235,0.00770782
